time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1720634400,184605,45.633,45.633,85.267,85.267,995.177,995.177,1.465,2.514
1720526400,184605,51.767,51.767,89.867,89.867,997.842,997.842,18.942,22.122
1720425600,184605,55.0,55.0,82.767,82.767,998.992,998.992,16.584,18.51
1720407600,184605,42.167,42.167,90.9,90.9,999.36,999.36,15.956,19.076
1720512000,184605,50.367,50.367,88.433,88.433,997.452,997.452,15.322,17.755
1720555200,184605,43.5,43.5,99.433,99.433,993.423,993.423,20.259,24.203
1720616400,184605,62.733,62.733,78.733,78.733,990.566,990.566,0.002,0.003
1719403200,184605,53.767,53.767,85.233,85.233,995.043,995.043,7.996,10.047
1719370800,184605,38.567,38.567,90.333,90.333,994.938,994.938,3.539,4.944
1719392400,184605,45.5,45.5,87.034,87.034,994.062,994.062,3.428,4.997
1719810000,184605,42.566,42.566,77.567,77.567,1004.979,1004.979,0.697,1.06
1718269200,184605,52.067,52.067,74.666,74.666,998.139,998.139,9.526,10.771
1718287200,184605,35.1,35.1,88.534,88.534,998.957,998.957,6.947,8.317
1719493200,184605,50.6,50.6,82.3,82.3,996.784,996.784,7.912,9.283
1718539200,184605,43.166,43.166,78.966,78.966,1001.06,1001.06,6.092,7.091
1718553600,184605,30.166,30.166,92.534,92.534,1000.31,1000.31,7.122,8.883
1717653600,184605,61.9,61.9,83.0,83.0,988.15,988.15,14.886,17.301
1717675200,184605,57.0,57.0,82.067,82.067,989.4,989.4,9.411,11.55
1720357200,184605,49.266,49.266,86.867,86.867,1000.742,1000.742,21.402,23.436
1720324800,184605,47.534,47.534,86.066,86.066,999.577,999.577,39.517,44.028
1718409600,184605,29.667,29.667,96.966,96.966,995.769,995.769,4.406,6.106
1718488800,184605,16.633,16.633,100.633,100.633,1000.701,1000.701,0.25,0.885
1718478000,184605,17.066,17.066,100.566,100.566,1001.541,1001.541,0.337,0.9
1719644400,184605,47.3,47.3,93.867,93.867,994.753,994.753,19.163,23.024
1719655200,184605,48.334,48.334,93.267,93.267,996.073,996.073,15.659,18.416
1719687600,184605,50.867,50.867,94.533,94.533,998.231,998.231,16.965,20.436
1717880400,184605,39.2,39.2,88.334,88.334,993.711,993.711,2.112,3.429
1717869600,184605,38.166,38.166,87.267,87.267,994.987,994.987,2.622,4.006
1717984800,184605,28.367,28.367,84.466,84.466,992.369,992.369,4.811,6.367
1717988400,184605,34.0,34.0,80.567,80.567,992.426,992.426,4.361,6.108
1718010000,184605,44.666,44.666,75.933,75.933,991.971,991.971,4.356,5.268
1719543600,184605,38.466,38.466,86.667,86.667,997.08,997.08,4.981,6.79
1719565200,184605,47.7,47.7,79.267,79.267,997.168,997.168,7.861,9.134
1719612000,184605,30.666,30.666,103.6,103.6,993.754,993.754,6.787,8.806
1719540000,184605,36.305,36.305,88.978,88.978,996.967,996.967,4.73,6.275
1719608400,184605,27.9,27.9,107.2,107.2,993.876,993.876,6.442,7.819
1719597600,184605,31.567,31.567,99.633,99.633,995.157,995.157,6.342,8.722
1720584000,184605,58.7,58.7,89.2,89.2,988.233,988.233,9.686,11.76
1720494000,184605,43.1,43.1,93.466,93.466,998.012,998.012,14.574,17.224
1717797600,184605,21.133,21.133,93.4,93.4,992.671,992.671,0.35,1.317
1717743600,184605,32.334,32.334,81.6,81.6,990.19,990.19,0.154,1.06
1718697600,184605,50.6,50.6,90.667,90.667,1001.418,1001.418,20.723,24.099
1719273600,184605,26.2,26.2,96.466,96.466,996.241,996.241,3.05,4.345
1719104400,184605,33.666,33.666,100.5,100.5,994.369,994.369,20.708,25.059
1719100800,184605,31.166,31.166,101.5,101.5,994.894,994.894,18.671,22.945
1719021600,184605,34.4,34.4,99.466,99.466,1002.052,1002.052,57.692,69.021
1719054000,184605,56.867,56.867,87.5,87.5,1002.027,1002.027,41.261,45.733
1718208000,184605,26.7,26.7,87.267,87.267,999.755,999.755,3.989,5.531
1718226000,184605,17.867,17.867,104.7,104.7,997.472,997.472,2.821,3.243
1718197200,184605,41.666,41.666,79.4,79.4,1000.858,1000.858,7.945,9.23
1720177200,184605,60.034,60.034,85.567,85.567,993.784,993.784,22.002,23.215
1720191600,184605,63.267,63.267,84.867,84.867,994.944,994.944,11.351,12.947
1719892800,184605,36.0,36.0,79.233,79.233,1003.279,1003.279,3.107,3.643
1720004400,184605,49.933,49.933,89.9,89.9,999.032,999.032,17.211,20.434
1720033200,184605,37.0,37.0,104.167,104.167,997.361,997.361,16.131,19.69
1718784000,184605,59.334,59.334,89.333,89.333,1004.122,1004.122,31.301,35.019
1718755200,184605,38.233,38.233,99.933,99.933,1002.193,1002.193,19.96,24.162
1718812800,184605,45.834,45.834,97.6,97.6,1007.053,1007.053,38.183,44.908
1720242000,184605,55.133,55.133,86.333,86.333,995.101,995.101,7.8,9.557
1720285200,184605,37.6,37.6,91.167,91.167,998.343,998.343,2.833,4.188
1719734400,184605,58.434,58.434,87.633,87.633,999.359,999.359,10.455,12.072
1718881200,184605,60.934,60.934,85.934,85.934,1008.582,1008.582,26.402,29.471
1718600400,184605,50.7,50.7,89.7,89.7,998.861,998.861,22.224,26.299
1718593200,184605,45.0,45.0,92.0,92.0,998.632,998.632,22.098,26.24
1719248400,184605,32.367,32.367,92.367,92.367,997.942,997.942,7.111,8.518
1719270000,184605,23.867,23.867,99.6,99.6,996.339,996.339,2.603,3.888
1720508400,184605,49.533,49.533,88.667,88.667,997.356,997.356,14.878,17.184
1720630800,184605,50.166,50.166,83.0,83.0,994.593,994.593,1.946,2.335
1720530000,184605,50.466,50.466,91.066,91.066,997.74,997.74,22.633,26.197
1720537200,184605,45.666,45.666,94.334,94.334,997.372,997.372,22.873,26.625
1720432800,184605,56.6,56.6,82.5,82.5,999.494,999.494,18.116,19.902
1720458000,184605,35.3,35.3,98.4,98.4,999.314,999.314,12.562,15.924
1719414000,184605,47.3,47.3,91.4,91.4,993.534,993.534,8.716,10.297
1719874800,184605,24.534,24.534,89.466,89.466,1003.145,1003.145,0.794,1.988
1720594800,184605,63.8,63.8,84.633,84.633,988.228,988.228,3.271,4.947
1718244000,184605,33.633,33.633,86.5,86.5,997.869,997.869,5.184,6.898
1718251200,184605,41.067,41.067,81.867,81.867,997.816,997.816,6.574,8.679
1719507600,184605,31.1,31.1,92.034,92.034,996.605,996.605,3.074,4.419
1719457200,184605,59.9,59.9,83.334,83.334,994.043,994.043,7.848,9.668
1719514800,184605,27.1,27.1,96.9,96.9,995.977,995.977,3.131,4.404
1718496000,184605,21.367,21.367,92.834,92.834,1000.567,1000.567,0.269,1.339
1718510400,184605,37.8,37.8,81.967,81.967,1000.587,1000.587,6.032,7.892
1720393200,184605,27.8,27.8,99.567,99.567,997.983,997.983,10.017,12.719
1720321200,184605,44.033,44.033,88.267,88.267,999.095,999.095,30.444,34.325
1718424000,184605,30.466,30.466,88.133,88.133,998.442,998.442,3.661,5.098
1718467200,184605,21.5,21.5,89.867,89.867,1002.884,1002.884,0.013,0.758
1719680400,184605,45.678,45.678,97.57,97.57,997.923,997.923,21.267,25.976
1719676800,184605,46.825,46.825,97.225,97.225,997.899,997.899,18.565,22.544
1717840800,184605,54.267,54.267,71.3,71.3,996.183,996.183,12.643,14.261
1717862400,184605,38.067,38.067,84.133,84.133,995.921,995.921,1.847,3.333
1717858800,184605,35.666,35.666,83.6,83.6,996.596,996.596,1.463,2.91
1717812000,184605,28.0,28.0,86.233,86.233,993.602,993.602,3.114,4.734
1717804800,184605,23.134,23.134,90.033,90.033,992.936,992.936,0.532,1.462
1717815600,184605,34.3,34.3,82.566,82.566,994.061,994.061,5.263,7.109
1718056800,184605,37.334,37.334,76.4,76.4,995.404,995.404,1.659,2.23
1719554400,184605,43.733,43.733,82.466,82.466,996.934,996.934,5.123,6.556
1719558000,184605,44.6,44.6,81.3,81.3,996.737,996.737,6.235,7.295
1719586800,184605,36.133,36.133,92.0,92.0,997.256,997.256,8.38,10.175
1717750800,184605,36.267,36.267,78.8,78.8,990.999,990.999,0.845,1.199
1718722800,184605,39.667,39.667,98.567,98.567,1003.416,1003.416,24.011,28.91
1718748000,184605,33.433,33.433,104.267,104.267,1001.82,1001.82,17.186,20.995
1718726400,184605,37.167,37.167,100.267,100.267,1003.423,1003.423,19.135,23.215
1719302400,184605,50.767,50.767,81.534,81.534,997.05,997.05,13.118,14.733
1718402400,184605,27.633,27.633,104.1,104.1,994.832,994.832,7.601,10.294
1718380800,184605,38.914,38.914,92.975,92.975,996.332,996.332,13.992,17.969
1718362800,184605,54.733,54.733,81.9,81.9,996.449,996.449,12.571,15.39
1718384400,184605,37.208,37.208,94.325,94.325,996.149,996.149,13.987,18.0
1717938000,184605,46.733,46.733,76.433,76.433,995.355,995.355,2.502,3.018
1717934400,184605,49.3,49.3,75.933,75.933,994.565,994.565,2.654,3.385
1717945200,184605,36.833,36.833,82.034,82.034,994.635,994.635,0.121,1.151
1719183600,184605,40.6,40.6,96.733,96.733,990.268,990.268,2.657,3.83
1719129600,184605,44.767,44.767,92.367,92.367,992.44,992.44,22.748,26.788
1719118800,184605,44.633,44.633,93.8,93.8,994.01,994.01,24.945,29.694
1719180000,184605,40.633,40.633,99.267,99.267,989.934,989.934,8.504,11.021
1719154800,184605,51.834,51.834,91.6,91.6,991.192,991.192,14.14,16.888
1718139600,184605,18.3,18.3,97.967,97.967,996.859,996.859,5.076,6.425
1718096400,184605,54.9,54.9,65.934,65.934,998.309,998.309,15.908,17.782
1718071200,184605,45.167,45.167,71.9,71.9,996.703,996.703,6.454,7.577
1718110800,184605,40.567,40.567,73.534,73.534,999.454,999.454,9.353,10.257
1718089200,184605,53.534,53.534,66.9,66.9,997.801,997.801,6.096,7.099
1719050400,184605,53.867,53.867,87.867,87.867,1002.344,1002.344,41.62,45.462
1719072000,184605,35.8,35.8,99.834,99.834,999.696,999.696,31.377,37.651
1719025200,184605,40.934,40.934,96.0,96.0,1002.046,1002.046,33.813,39.63
1718168400,184605,42.1,42.1,74.233,74.233,998.789,998.789,10.328,11.848
1718179200,184605,50.367,50.367,70.0,70.0,999.422,999.422,9.918,11.526
1720220400,184605,44.534,44.534,94.834,94.834,992.033,992.033,2.963,4.224
1719943200,184605,25.733,25.733,97.133,97.133,999.975,999.975,2.438,3.603
1719914400,184605,47.466,47.466,72.233,72.233,1002.981,1002.981,3.647,4.187
1719986400,184605,47.3,47.3,90.833,90.833,998.371,998.371,18.294,21.111
1720000800,184605,50.966,50.966,89.466,89.466,998.466,998.466,18.024,21.05
1720029600,184605,39.133,39.133,101.367,101.367,998.177,998.177,18.11,22.15
1718834400,184605,36.667,36.667,104.133,104.133,1005.596,1005.596,26.904,32.845
1718953200,184605,52.6,52.6,89.433,89.433,1005.813,1005.813,39.614,45.481
1718960400,184605,55.133,55.133,87.834,87.834,1006.147,1006.147,43.659,49.422
1720227600,184605,56.133,56.133,87.867,87.867,993.047,993.047,5.648,7.138
1720054800,184605,64.133,64.133,88.2,88.2,998.21,998.21,12.761,14.389
1720051200,184605,64.933,64.933,87.6,87.6,997.525,997.525,10.505,12.197
1720130400,184605,42.733,42.733,100.133,100.133,992.782,992.782,10.301,12.203
1719752400,184605,50.534,50.534,88.867,88.867,1002.057,1002.057,6.951,8.392
1719781200,184605,26.834,26.834,99.733,99.733,1001.301,1001.301,1.106,2.329
1719705600,184605,61.067,61.067,86.867,86.867,998.822,998.822,2.49,3.717
1719741600,184605,58.667,58.667,88.2,88.2,1000.058,1000.058,13.752,16.372
1718902800,184605,36.9,36.9,99.833,99.833,1008.437,1008.437,27.404,33.385
1718924400,184605,31.466,31.466,104.534,104.534,1005.223,1005.223,33.171,40.229
1718604000,184605,50.933,50.933,89.166,89.166,999.059,999.059,21.871,26.047
1718614800,184605,51.534,51.534,89.733,89.733,999.791,999.791,28.513,32.611
1719201600,184605,45.133,45.133,89.7,89.7,993.035,993.035,1.611,3.046
1719212400,184605,45.4,45.4,84.767,84.767,994.524,994.524,0.834,2.224
1720468800,184605,28.6,28.6,104.5,104.5,997.503,997.503,9.943,12.463
1720404000,184605,37.867,37.867,93.2,93.2,999.157,999.157,13.578,16.434
1720461600,184605,32.466,32.466,101.033,101.033,998.621,998.621,11.66,14.87
1719410400,184605,49.6,49.6,89.466,89.466,993.736,993.736,8.718,10.064
1719856800,184605,26.534,26.534,86.367,86.367,1005.704,1005.704,0.006,0.783
1719806400,184605,40.033,40.033,79.666,79.666,1004.5,1004.5,0.287,0.522
1718298000,184605,27.2,27.2,94.867,94.867,997.347,997.347,5.041,6.357
1718272800,184605,52.933,52.933,74.5,74.5,998.475,998.475,10.189,11.401
1718254800,184605,45.2,45.2,80.066,80.066,997.918,997.918,8.361,9.795
1718290800,184605,30.0,30.0,90.833,90.833,998.827,998.827,5.62,7.11
1718542800,184605,37.3,37.3,83.9,83.9,1001.128,1001.128,4.956,6.623
1718550000,184605,34.767,34.767,88.1,88.1,1000.74,1000.74,6.054,7.537
1718524800,184605,45.8,45.8,76.1,76.1,1000.678,1000.678,6.964,8.205
1717682400,184605,45.0,45.0,86.1,86.1,989.132,989.132,2.675,4.039
1717650000,184605,62.8,62.8,82.967,82.967,988.093,988.093,14.37,16.585
1717668000,184605,60.8,60.8,81.7,81.7,988.393,988.393,13.424,16.014
1717693200,184605,36.833,36.833,90.767,90.767,988.264,988.264,0.93,2.171
1720332000,184605,52.233,52.233,83.133,83.133,999.722,999.722,36.534,39.698
1718485200,184605,15.1,15.1,105.0,105.0,1000.859,1000.859,0.414,0.564
1718492400,184605,18.833,18.833,95.667,95.667,1000.753,1000.753,0.136,1.258
1718445600,184605,39.5,39.5,78.2,78.2,1001.833,1001.833,4.045,4.961
1720548000,184605,56.733,56.733,91.633,91.633,995.842,995.842,30.111,34.513
1720580400,184605,57.833,57.833,90.7,90.7,987.939,987.939,16.463,19.083
