time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719129600,184711,25.367,25.659
1718931600,184711,36.232,36.852
1718946000,184711,42.017,42.189
1718434800,184711,5.218,4.973
1718456400,184711,1.442,1.51
1718427600,184711,4.234,4.155
1718564400,184711,15.692,16.151
1718568000,184711,16.119,16.526
1718542800,184711,5.978,6.128
1718161200,184711,8.277,8.605
1718182800,184711,9.392,3540.057
1718006400,184711,4.335,3632.44
1718028000,184711,3.423,3.42
1717999200,184711,4.115,3.964
1717977600,184711,0.824,0.875
1718056800,184711,1.777,1.513
1718042400,184711,2.063,1.918
1718024400,184711,3.181,3.305
1719111600,184711,26.181,26.261
1718344800,184711,8.281,8.526
1718287200,184711,4.944,5.401
1718276400,184711,10.52,593.509
1717898400,184711,5.518,5.324
1717923600,184711,7.127,9.011
1717894800,184711,5.58,5.503
1717952400,184711,0.589,0.67
1717905600,184711,4.567,4.285
1719072000,184711,30.253,31.474
1719082800,184711,21.896,22.315
1719046800,184711,43.734,44.67
1719025200,184711,35.246,35.288
1719039600,184711,41.055,42.234
1719032400,184711,39.031,40.031
1719061200,184711,41.242,41.441
1719068400,184711,33.853,34.848
1718672400,184711,18.299,18.937
1718676000,184711,21.358,21.076
1718708400,184711,22.884,22.666
1718697600,184711,22.37,22.172
1718067600,184711,3.132,26.375
1718074800,184711,5.668,6291.06
1718118000,184711,7.62,7.488
1718092800,184711,8.925,4408.497
1718143200,184711,9.901,9.711
1718841600,184711,28.986,29.032
1718874000,184711,27.264,27.323
1718859600,184711,25.081,25.139
1718899200,184711,26.608,26.159
1718866800,184711,26.157,26.56
1717754400,184711,1.096,1.034
1717776000,184711,0.754,0.956
1717725600,184711,2.665,2.761
1717729200,184711,1.044,1.037
1717786800,184711,1.784,1.643
1717718400,184711,1.708,1.688
1717783200,184711,1.203,1.019
1717833600,184711,9.225,9.457
1718816400,184711,38.315,38.526
1718773200,184711,31.683,31.345
1718805600,184711,33.681,34.306
1718812800,184711,39.292,39.709
1717653600,184711,16.468,15.213
1718658000,184711,26.084,26.256
1718589600,184711,22.111,21.638
1718614800,184711,30.088,29.644
1718643600,184711,31.159,32.825
1719126000,184711,24.934,24.918
1719165600,184711,17.227,17.066
1718928000,184711,32.06,32.586
1718989200,184711,28.401,29.159
1718938800,184711,38.056,38.165
1718935200,184711,36.927,37.273
1718971200,184711,39.828,39.971
1718431200,184711,4.838,4.646
1718452800,184711,2.582,2.734
1718481600,184711,1.154,1.104
1718485200,184711,1.165,1.323
1718467200,184711,0.021,0.495
1718496000,184711,2.198,2.326
1718514000,184711,7.136,7.322
1718503200,184711,4.499,4.386
1718560800,184711,14.347,15.153
1718524800,184711,10.215,10.53
1718229600,184711,27.068,28.904
1718211600,184711,4.452,4.464
1717992000,184711,4.613,4.388
1718002800,184711,3.979,3.966
1718049600,184711,1.948,1.712
1718020800,184711,2.469,2.834
