time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719100800,83761,20.53,17.928
1719169200,83761,33.93,30.859
1719147600,83761,21.616,19.246
1718679600,83761,18.383,16.174
1717729200,83761,0.881,0.621
1717754400,83761,1.089,0.795
1717779600,83761,1.348,0.799
1717743600,83761,0.926,0.652
1717722000,83761,0.762,0.426
1719007200,83761,26.996,23.886
1718956800,83761,34.242,32.349
1718996400,83761,25.56,23.048
1719003600,83761,26.66,23.339
1718982000,83761,23.595,20.903
1718971200,83761,32.315,29.921
1718100000,83761,4.992,4.44
1718118000,83761,7.114,6.105
1718470800,83761,0.899,0.532
1718431200,83761,5.621,4.376
1718442000,83761,5.531,4.534
1718413200,83761,10.123,8.105
1718424000,83761,6.018,4.813
1718467200,83761,0.972,0.637
1717995600,83761,6.938,5.51
1718035200,83761,1.855,1.289
1718056800,83761,2.277,1.796
1717999200,83761,5.947,4.573
1718820000,83761,31.893,29.407
1718769600,83761,27.787,25.227
1718823600,83761,32.519,30.835
1718773200,83761,28.072,25.808
1718816400,83761,33.309,30.559
1719025200,83761,32.897,30.11
1719057600,83761,37.045,34.036
1719075600,83761,28.765,25.399
1719043200,83761,33.842,31.733
1718175600,83761,8.029,7.141
1718161200,83761,7.865,6.957
1718866800,83761,27.334,25.308
1718892000,83761,22.343,19.631
1718920800,83761,32.43,28.727
1718917200,83761,32.886,30.444
1718884800,83761,23.248,20.715
1718895600,83761,23.217,20.573
1718874000,83761,26.461,24.781
1718913600,83761,33.709,31.155
1719183600,83761,12.275,10.451
1717851600,83761,4.984,4.098
1717830000,83761,7.642,6.256
1717876800,83761,4.035,2.889
1717840800,83761,7.831,6.483
1717812000,83761,2.505,1.795
1718521200,83761,5.096,4.26
1718510400,83761,4.516,3.713
1718514000,83761,5.465,4.402
1718539200,83761,5.974,4.998
1718506800,83761,5.282,4.355
1717912800,83761,6.133,4.615
1718600400,83761,22.251,19.572
1718640000,83761,32.537,30.332
1718625600,83761,26.953,24.485
1717653600,83761,13.447,12.084
1717686000,83761,4.081,3.35
1717704000,83761,0.965,0.634
1717693200,83761,1.776,1.304
1717671600,83761,12.101,11.2
1717700400,83761,1.155,0.707
1718366400,83761,12.358,10.726
1718344800,83761,7.732,6.662
1718384400,83761,16.632,13.605
1718359200,83761,11.921,10.482
1718362800,83761,11.911,10.019
1718373600,83761,13.131,11.258
1718280000,83761,8.266,6.903
1718258400,83761,8.41,7.43
1718272800,83761,8.866,7.777
1718276400,83761,8.439,7.027
1718294400,83761,6.111,4.864
1718265600,83761,8.666,7.741
1719201600,83761,3.546,2.785
1719115200,83761,24.123,22.012
1719144000,83761,20.157,18.114
1719140400,83761,20.963,18.522
1718708400,83761,24.825,22.449
1718704800,83761,24.813,22.921
1718719200,83761,26.317,24.036
1717768800,83761,0.344,0.121
1717736400,83761,1.18,0.817
1717747200,83761,1.04,0.663
1717765200,83761,0.701,0.454
1717790400,83761,1.321,0.993
1717797600,83761,1.253,0.869
1718935200,83761,32.773,29.682
1718136000,83761,5.546,4.343
1718107200,83761,6.809,6.15
1718103600,83761,5.309,4.795
1718143200,83761,4.883,4.098
1718478000,83761,1.369,0.897
1718460000,83761,1.351,0.856
1718456400,83761,1.622,1.198
1718038800,83761,1.216,0.774
1718013600,83761,5.896,4.637
1718812800,83761,35.618,33.187
1719054000,83761,33.276,31.033
1719032400,83761,34.861,32.697
1718226000,83761,2.958,2.389
1718870400,83761,26.87,25.217
1718910000,83761,31.863,29.195
1718845200,83761,29.651,27.146
1718841600,83761,29.278,26.443
1717808400,83761,1.577,1.071
1718503200,83761,4.119,3.365
1718499600,83761,2.591,1.897
1718528400,83761,5.904,5.048
1718542800,83761,5.367,4.441
1718564400,83761,16.651,14.659
1718568000,83761,16.974,15.024
1717956000,83761,1.293,0.807
1717934400,83761,5.147,4.008
1717902000,83761,4.664,3.571
1717974000,83761,2.808,1.979
1717959600,83761,1.242,0.81
1719176400,83761,18.134,15.52
1718614800,83761,28.95,26.3
1718643600,83761,29.486,27.352
1718596800,83761,21.737,19.264
1718661600,83761,19.934,17.862
1718650800,83761,29.386,26.923
1718377200,83761,12.862,10.711
1718269200,83761,8.383,7.636
1718316000,83761,5.806,4.514
1718287200,83761,6.783,5.411
1718251200,83761,8.937,7.859
1719151200,83761,21.537,19.246
1718740800,83761,17.519,15.789
1718690400,83761,22.083,19.86
1718672400,83761,18.09,15.716
1718737200,83761,16.755,15.302
1717794000,83761,1.635,1.171
1717761600,83761,0.839,0.528
1719190800,83761,4.245,3.245
1718989200,83761,23.923,21.755
1718967600,83761,32.419,30.485
1718960400,83761,34.084,32.143
1718114400,83761,7.581,6.54
1718139600,83761,5.783,4.612
1718128800,83761,4.483,3.852
1718125200,83761,5.056,4.277
1718409600,83761,7.963,6.136
1718438400,83761,5.998,4.817
1718416800,83761,10.021,8.36
1718420400,83761,11.443,9.905
1718006400,83761,5.86,4.688
1717984800,83761,4.228,3.211
1718053200,83761,2.197,1.754
1718809200,83761,35.569,33.364
1718805600,83761,32.639,30.041
1718838000,83761,29.201,26.369
1718791200,83761,31.118,29.39
1718776800,83761,28.524,26.321
1718834400,83761,27.117,25.063
1718758800,83761,25.367,22.031
1719093600,83761,21.256,18.314
1719046800,83761,33.818,31.824
1718211600,83761,3.71,3.072
1718157600,83761,5.753,4.866
1718233200,83761,3.18,2.489
1718193600,83761,8.753,7.183
1718154000,83761,5.279,4.27
1718208000,83761,3.595,2.917
1718164800,83761,8.767,7.941
1718848800,83761,30.345,27.756
1718902800,83761,25.611,22.669
1718877600,83761,26.266,24.408
1718852400,83761,31.128,28.863
1718899200,83761,24.381,21.599
1719108000,83761,22.956,20.368
1717866000,83761,4.293,3.647
1718557200,83761,13.19,10.807
1718535600,83761,5.617,4.611
1717909200,83761,5.831,4.461
1717952400,83761,1.59,1.011
1717923600,83761,9.439,7.367
1717891200,83761,2.875,2.031
1718622000,83761,26.727,24.258
1718647200,83761,28.249,25.489
1718632800,83761,29.303,27.238
1718607600,83761,24.285,22.042
1717707600,83761,1.053,0.579
1717696800,83761,1.509,1.01
1717714800,83761,0.641,0.322
1717675200,83761,10.091,9.111
1717689600,83761,2.731,2.237
1718341200,83761,8.907,7.501
1718348400,83761,10.954,9.326
1718406000,83761,11.849,9.322
1718337600,83761,9.619,8.275
1718236800,83761,3.184,2.538
1718262000,83761,8.596,7.494
1718283600,83761,7.05,5.587
1718254800,83761,8.369,7.397
1719165600,83761,42.401,38.05
1719133200,83761,24.936,22.425
1719136800,83761,22.586,20.02
1718730000,83761,22.392,20.44
1718726400,83761,25.791,23.645
1717725600,83761,0.885,0.501
1717786800,83761,1.406,0.873
1717772400,83761,0.629,0.293
1717758000,83761,0.948,0.737
1717732800,83761,1.099,0.709
1719111600,83761,23.752,20.956
1718964000,83761,33.225,31.486
1718938800,83761,34.213,31.677
1719000000,83761,25.875,22.957
1718096400,83761,4.919,4.446
1718064000,83761,2.439,1.925
1718074800,83761,5.191,4.223
1718089200,83761,4.53,3.934
1718146800,83761,4.735,3.856
1718067600,83761,2.453,1.909
1718427600,83761,5.282,4.499
1718485200,83761,1.917,1.275
1718024400,83761,4.367,3.246
1717992000,83761,8.7,6.944
1718010000,83761,5.945,4.601
1718028000,83761,3.781,2.67
1718755200,83761,24.715,21.646
1718762400,83761,26.314,24.166
1718794800,83761,31.435,29.566
1718784000,83761,28.873,27.099
1718766000,83761,27.465,25.305
1719061200,83761,38.544,35.008
1718200800,83761,7.822,6.047
1718218800,83761,3.644,2.879
1718888400,83761,22.395,19.709
1718859600,83761,29.691,27.431
1717880400,83761,3.441,2.609
1717873200,83761,4.229,3.09
1718532000,83761,5.876,4.873
1718546400,83761,5.421,4.498
1718578800,83761,16.792,14.9
1717916400,83761,6.821,5.196
1718658000,83761,23.053,20.874
1718618400,83761,29.211,27.069
1718604000,83761,23.15,20.828
1717678800,83761,6.317,5.431
1717639200,83761,14.814,13.028
