time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1720486800,40051,48.667,null,91.4,null,986.683,null,13.837,10.971
1720598400,40051,68.934,null,81.966,null,976.208,null,5.827,5.286
1720260000,40051,66.6,null,74.1,null,984.884,null,9.55,7.705
1719792000,40051,35.667,null,85.034,null,991.449,null,0.146,0.002
1719871200,40051,28.367,null,91.9,null,992.561,null,0.946,0.225
1717956000,40051,36.4,null,81.3,null,981.695,null,0.784,0.327
1717963200,40051,32.5,null,84.333,null,980.683,null,1.446,1.198
1720220400,40051,57.067,null,87.566,null,981.124,null,1.882,1.067
1720198800,40051,67.933,null,84.467,null,982.069,null,4.891,3.995
1719896400,40051,46.166,null,72.9,null,991.836,null,2.013,1.248
1719921600,40051,49.7,null,70.983,null,991.189,null,2.678,1.941
1719766800,40051,46.1,null,85.534,null,991.456,null,1.212,0.465
1719399600,40051,61.667,null,79.567,null,983.058,null,6.863,5.595
1719360000,40051,51.267,null,90.333,null,981.859,null,12.061,10.732
1719414000,40051,68.967,null,82.034,null,982.145,null,10.783,9.104
1720530000,40051,61.967,null,85.9,null,986.405,null,21.173,17.465
1719547200,40051,47.466,null,80.233,null,986.173,null,6.074,5.133
1719572400,40051,54.9,null,73.267,null,986.715,null,7.505,5.98
1719604800,40051,35.666,null,100.133,null,983.587,null,7.906,6.966
1720324800,40051,56.666,null,80.633,null,988.168,null,28.712,28.829
1720368000,40051,44.633,null,89.1,null,989.258,null,8.457,6.505
1720044000,40051,69.733,null,85.233,null,986.269,null,13.582,11.0
1719975600,40051,51.4,null,89.033,null,987.441,null,15.024,12.694
1719990000,40051,59.666,null,84.3,null,986.721,null,17.381,14.599
1720123200,40051,61.733,null,91.333,null,982.969,null,14.907,12.184
1720119600,40051,63.166,null,89.8,null,983.751,null,7.508,6.078
1718301600,40051,34.234,null,94.434,null,985.769,null,5.58,5.965
1719183600,40051,43.166,null,92.9,null,979.223,null,0.512,0.051
1719129600,40051,48.133,null,88.7,null,980.757,null,17.392,17.239
1719496800,40051,57.0,null,78.767,null,985.731,null,5.852,4.968
1717689600,40051,49.833,null,83.667,null,977.1,null,1.085,0.713
1717704000,40051,39.8,null,86.367,null,975.737,null,0.62,0.155
1718010000,40051,52.633,null,65.4,null,979.919,null,3.3,3.215
1717977600,40051,26.166,null,85.9,null,980.574,null,1.488,1.206
1718038800,40051,49.267,null,69.9,null,983.61,null,1.776,1.398
1718996400,40051,35.733,null,101.034,null,992.603,null,18.672,19.747
1718942400,40051,51.7,null,89.166,null,994.991,null,23.873,24.118
1718992800,40051,38.1,null,98.733,null,993.346,null,20.434,21.529
1718780400,40051,60.1,null,85.566,null,992.149,null,22.702,22.844
1718823600,40051,44.133,null,99.633,null,995.167,null,24.172,25.017
1720465200,40051,41.367,null,98.467,null,987.555,null,13.839,11.98
1719075600,40051,39.667,null,98.7,null,987.869,null,19.811,20.977
1718661600,40051,42.833,null,103.4,null,987.687,null,22.795,26.016
1719223200,40051,59.467,null,73.534,null,984.617,null,5.671,5.37
1719205200,40051,54.0,null,81.633,null,982.501,null,2.015,2.254
1719248400,40051,40.7,null,87.8,null,986.932,null,6.444,6.316
