time_stamp,sensor_index,pm2.5_cf_1_a,pm2.5_cf_1_b
1719122400,127915,21.176,21.2
1719140400,127915,18.302,18.081
1719136800,127915,19.405,19.407
1719151200,127915,17.677,17.661
1718197200,127915,6.513,5.748
1718172000,127915,7.047,6.265
1718157600,127915,3.404,2.982
1718060400,127915,0.004,0.0
1718017200,127915,0.067,0.046
1718056800,127915,0.001,0.0
1718024400,127915,0.127,0.078
1717995600,127915,0.146,0.071
1718632800,127915,28.261,28.2
1718611200,127915,24.721,24.813
1718643600,127915,29.39,29.84
1718089200,127915,1.16,4.319
1718082000,127915,2.224,1.518
1718521200,127915,1.708,1.197
1718550000,127915,1.857,1.228
1718568000,127915,15.423,14.151
1718535600,127915,3.589,3.603
1718506800,127915,1.192,0.823
1718524800,127915,1.889,1.819
1718784000,127915,28.336,28.809
1718755200,127915,23.384,23.022
1718820000,127915,33.709,34.45
1717808400,127915,0.053,0.024
1717686000,127915,1.538,1.458
1717660800,127915,9.242,7.926
1717668000,127915,13.445,11.032
1717696800,127915,1.147,1.059
1717639200,127915,13.535,10.421
1718938800,127915,29.313,30.003
1718935200,127915,28.038,28.848
1718996400,127915,28.709,29.024
1718942400,127915,31.865,32.813
1718928000,127915,36.404,37.792
1718445600,127915,0.195,0.2
1718438400,127915,1.27,0.82
1718456400,127915,0.068,0.035
1718283600,127915,9.399,8.882
1718316000,127915,1.868,0.985
1717732800,127915,0.043,0.015
1717772400,127915,0.0,0.0
1717779600,127915,0.053,0.052
1717902000,127915,0.526,0.303
1717956000,127915,0.0,0.0
1718388000,127915,16.608,14.017
1718341200,127915,4.481,3.975
1718348400,127915,4.836,4.504
1718391600,127915,20.488,18.894
1718402400,127915,6.571,6.038
1718751600,127915,21.259,21.282
1718722800,127915,25.133,25.145
1718748000,127915,18.245,18.455
1718859600,127915,22.179,22.359
1718208000,127915,1.542,0.972
1718226000,127915,0.639,0.06
1718190000,127915,6.497,5.726
1718218800,127915,2.171,1.503
1718211600,127915,2.478,1.864
1717988400,127915,0.133,0.102
1718002800,127915,1.112,0.963
1717984800,127915,0.252,0.121
1717977600,127915,0.0,0.0
1718604000,127915,20.363,19.886
1718654400,127915,24.793,25.589
1718589600,127915,16.715,16.582
1718582400,127915,15.254,14.21
1718593200,127915,17.34,16.965
1718636400,127915,28.648,29.063
1718132400,127915,2.855,2.098
1718560800,127915,14.953,13.91
1718532000,127915,3.26,2.984
1718557200,127915,6.662,6.214
1719097200,127915,18.184,18.231
1719072000,127915,29.574,30.329
1719032400,127915,32.912,33.374
1719043200,127915,35.052,36.043
1719075600,127915,27.756,28.11
1718809200,127915,32.694,33.792
1718780400,127915,28.445,28.721
1717880400,127915,0.166,0.022
1717815600,127915,0.463,0.3
1717858800,127915,0.226,0.064
1717833600,127915,3.51,2.664
1717884000,127915,0.018,0.004
1717646400,127915,11.556,9.215
1717693200,127915,0.792,0.685
1717678800,127915,5.136,4.569
1718985600,127915,26.513,27.105
1718971200,127915,41.035,42.979
1718434800,127915,1.279,0.843
1718413200,127915,2.45,1.556
1718287200,127915,3.611,2.845
1718254800,127915,8.37,3.939
1717797600,127915,0.0,0.123
1717909200,127915,1.426,0.907
1717963200,127915,0.0,0.0
1717941600,127915,0.0,0.009
1719190800,127915,0.002,0.0
1718712000,127915,22.483,22.978
1718895600,127915,21.757,22.014
1719100800,127915,18.266,18.437
1719129600,127915,21.757,21.623
1719158400,127915,9.81,9.011
1719104400,127915,19.124,19.111
1718161200,127915,4.393,4.11
1718175600,127915,7.253,6.315
1717999200,127915,3.947,0.221
1717981200,127915,0.641,0.45
1719165600,127915,16.146,15.72
1718600400,127915,20.369,19.845
1718629200,127915,26.173,26.491
1718625600,127915,24.119,24.122
1718143200,127915,0.431,0.192
1718136000,127915,1.891,1.153
1718107200,127915,5.331,4.575
1718139600,127915,1.276,0.398
1718085600,127915,0.607,0.393
1718064000,127915,0.0,0.0
1718078400,127915,2.24,1.552
1718564400,127915,14.777,13.704
1718575200,127915,12.277,10.901
1718571600,127915,16.45,14.89
1719046800,127915,36.451,37.616
1719036000,127915,34.364,35.058
1719021600,127915,28.316,28.757
1718769600,127915,25.588,26.346
1718823600,127915,35.26,36.682
1717887600,127915,0.04,0.011
1717862400,127915,0.17,0.104
1717876800,127915,0.149,0.014
1717664400,127915,11.532,9.811
1718978400,127915,40.877,26.65
1718982000,127915,24.578,24.84
1718420400,127915,3.038,2.68
1718449200,127915,1.669,1.705
1718416800,127915,5.319,12.146
1718492400,127915,0.0,0.004
1718427600,127915,1.074,0.902
1719115200,127915,21.582,21.624
1718251200,127915,3.248,2.545
1718319600,127915,1.616,1.034
1718301600,127915,3.317,2.272
1718280000,127915,12.866,11.405
1718298000,127915,3.831,2.857
1718244000,127915,2.292,1.882
1717740000,127915,0.0,0.0
1717747200,127915,0.084,0.221
1717761600,127915,0.005,7.191
1717729200,127915,0.035,0.022
1717722000,127915,0.0,0.0
1717948800,127915,0.0,0.0
1717891200,127915,0.074,0.001
1717974000,127915,0.0,0.0
1717970400,127915,0.0,0.0
1717927200,127915,2.401,1.846
1718373600,127915,12.95,11.3
1718366400,127915,11.611,9.622
1718359200,127915,8.093,7.117
1718733600,127915,17.793,17.2
1718708400,127915,21.24,22.56
1718902800,127915,25.445,25.889
1718910000,127915,35.636,36.923
1718899200,127915,24.471,24.77
1719162000,127915,12.169,12.436
1719183600,127915,0.524,0.422
1719194400,127915,0.004,0.005
1719108000,127915,19.779,19.626
1719126000,127915,21.86,21.378
1718168400,127915,5.857,5.095
1718154000,127915,1.842,1.399
1718179200,127915,8.216,6.962
1718229600,127915,0.306,0.037
1718164800,127915,5.553,5.015
1718204400,127915,0.761,0.412
1718028000,127915,2.673,2.9
1718031600,127915,1.468,1.462
1718049600,127915,0.009,0.0
1718020800,127915,1.004,0.978
1718607600,127915,23.046,22.658
1718640000,127915,29.991,30.364
1718110800,127915,10.258,10.058
1718118000,127915,5.008,4.928
1718103600,127915,4.295,3.949
1718125200,127915,3.67,3.102
1718146800,127915,0.364,0.196
1718546400,127915,2.073,1.561
1718503200,127915,0.335,7.21
1719086400,127915,20.334,20.196
1719090000,127915,20.091,19.842
1719018000,127915,25.213,25.398
1718805600,127915,27.577,28.36
1718773200,127915,26.554,26.982
1718787600,127915,29.002,29.273
1718794800,127915,28.915,29.655
1718816400,127915,34.636,35.302
1717804800,127915,0.001,0.005
1717812000,127915,0.414,0.235
1717822800,127915,18.596,2.156
1717837200,127915,4.252,3.361
1717851600,127915,7.155,5.923
1717689600,127915,0.009,0.015
1718964000,127915,33.358,35.049
1718967600,127915,34.648,35.425
1718949600,127915,32.18,33.123
1718992800,127915,28.956,29.385
1718452800,127915,1.748,1.799
1718424000,127915,1.153,0.769
1718431200,127915,0.993,0.795
1718478000,127915,0.0,0.001
1718247600,127915,2.07,1.56
1718290800,127915,2.364,1.585
1717736400,127915,0.0,0.0
1717754400,127915,0.004,0.0
1717952400,127915,0.0,0.0
1717934400,127915,0.081,0.033
1717920000,127915,2.846,2.171
1717966800,127915,0.0,0.0
1719147600,127915,18.561,18.865
1718344800,127915,3.406,2.684
1718330400,127915,2.249,1.734
1718377200,127915,15.689,13.541
1718355600,127915,7.011,6.154
1718380800,127915,12.41,10.008
1718334000,127915,3.571,2.928
1718370000,127915,12.765,10.61
1718406000,127915,4.458,3.774
1718326800,127915,1.901,1.026
1718740800,127915,15.966,15.466
1718726400,127915,21.249,21.459
1718737200,127915,20.424,20.099
1718870400,127915,25.59,25.842
1718884800,127915,26.563,26.846
1719111600,127915,20.316,19.959
1719133200,127915,20.89,20.612
1719201600,127915,0.098,0.034
1718193600,127915,10.368,9.797
1718222400,127915,0.855,0.119
1718182800,127915,6.691,5.764
1718006400,127915,0.469,19.161
1718038800,127915,0.122,0.088
1718013600,127915,0.297,7.958
1718046000,127915,0.108,0.084
1718596800,127915,17.879,17.424
1718650800,127915,27.795,28.384
1718121600,127915,3.932,3.849
1718067600,127915,0.0,0.003
1718071200,127915,0.277,0.138
1718128800,127915,2.143,1.405
1718496000,127915,0.0,0.003
1718499600,127915,0.005,0.0
1718578800,127915,11.769,10.464
1719039600,127915,34.422,35.173
1719082800,127915,19.666,19.627
1718834400,127915,25.873,26.791
1718827200,127915,33.38,34.292
1718776800,127915,27.333,28.048
1718838000,127915,25.98,26.839
1718812800,127915,37.05,38.444
1718758800,127915,21.412,21.645
1717826400,127915,2.433,1.771
1717830000,127915,4.195,3.304
1717704000,127915,1.014,0.912
1717650000,127915,10.486,8.611
1717714800,127915,0.0,0.0
1717642800,127915,11.201,9.05
1719000000,127915,26.749,27.378
1718946000,127915,32.845,33.81
1718485200,127915,0.011,0.0
1718467200,127915,0.0,0.0
1718409600,127915,2.046,1.407
1718276400,127915,12.322,11.796
1718240400,127915,1.281,0.81
1718272800,127915,7.622,6.793
1718312400,127915,1.211,0.637
1717786800,127915,0.773,0.715
1717801200,127915,0.0,0.003
1717765200,127915,0.0,0.0
1717790400,127915,0.313,0.283
1717938000,127915,0.022,0.001
1718323200,127915,1.47,0.723
1718362800,127915,9.764,8.509
1718384400,127915,18.415,16.155
1718352000,127915,6.822,5.934
1718715600,127915,23.537,23.48
1718719200,127915,59.864,24.861
1718730000,127915,18.858,18.771
1718920800,127915,40.594,42.249
1718924400,127915,40.963,42.672
1718852400,127915,21.32,21.4
1718866800,127915,24.206,24.537
1718888400,127915,27.973,28.691
1718863200,127915,24.538,24.625
1719169200,127915,17.642,17.306
1719176400,127915,16.474,16.16
1719144000,127915,18.026,17.537
1718186400,127915,7.44,6.665
1718150400,127915,0.767,0.607
1718233200,127915,0.088,0.047
1718010000,127915,0.611,0.273
1717992000,127915,0.288,0.257
1718618400,127915,25.727,25.995
1718647200,127915,26.218,26.697
1718622000,127915,24.605,24.218
1718586000,127915,16.849,16.042
1718114400,127915,8.883,8.443
1718092800,127915,2.196,1.643
1718514000,127915,3.493,3.029
1718528400,127915,2.59,13.48
1718517600,127915,1.165,0.98
1718539200,127915,3.218,2.986
1718553600,127915,4.051,3.375
1718542800,127915,3.009,2.292
1719198000,127915,0.002,0.003
1719057600,127915,38.758,40.061
1718802000,127915,27.887,27.94
1718762400,127915,22.982,23.114
1717866000,127915,0.272,0.148
1717848000,127915,7.306,6.262
1717819200,127915,1.902,4.988
1717844400,127915,6.581,5.41
1717855200,127915,2.188,1.569
1717682400,127915,0.584,0.329
1717711200,127915,0.0,0.0
1717700400,127915,0.063,0.048
1718989200,127915,25.607,26.181
1719003600,127915,24.691,25.148
1718931600,127915,30.826,31.576
1718442000,127915,0.601,0.504
1718474400,127915,0.0,0.0
1718460000,127915,0.002,0.0
1718463600,127915,0.005,0.0
1718258400,127915,12.237,4.334
1718308800,127915,0.752,0.127
1718305200,127915,5.474,4.223
1718236800,127915,0.198,0.171
1717758000,127915,0.004,0.0
1717725600,127915,0.155,7.248
1717783200,127915,0.685,0.662
1717930800,127915,1.097,0.838
1717959600,127915,0.0,0.0
1717916400,127915,2.269,1.409
1717905600,127915,1.152,0.555
1717945200,127915,0.0,0.0
1717923600,127915,3.371,2.533
1718398800,127915,9.45,8.255
1718395200,127915,13.392,11.39
1719187200,127915,0.0,0.0
1719118800,127915,22.158,21.713
1718906400,127915,31.592,32.848
1718877600,127915,27.631,27.693
1718917200,127915,36.35,38.032
1718913600,127915,37.097,38.514
1718892000,127915,21.794,21.544
1719172800,127915,17.306,16.648
1719180000,127915,3.998,3.742
1718215200,127915,3.216,2.332
1718200800,127915,3.542,2.883
1718035200,127915,0.406,0.421
1718042400,127915,0.203,0.188
1718053200,127915,0.8,0.718
1719154800,127915,11.692,11.631
1718614800,127915,27.02,27.093
1718096400,127915,2.292,1.901
1718100000,127915,2.278,1.857
1718074800,127915,0.555,0.4
1718510400,127915,2.777,2.328
1719028800,127915,31.646,32.393
1719079200,127915,22.056,22.166
1719064800,127915,35.232,36.19
1719014400,127915,25.401,26.002
1719025200,127915,29.881,30.571
1719093600,127915,18.63,18.77
1719054000,127915,38.224,39.249
1719050400,127915,37.553,39.05
1719068400,127915,30.362,30.539
1719061200,127915,39.087,40.339
1718791200,127915,28.475,29.285
1718830800,127915,30.685,31.285
1718766000,127915,24.634,25.029
1718798400,127915,29.161,29.938
1717840800,127915,4.181,3.285
1717869600,127915,0.166,0.038
1717873200,127915,0.179,0.045
1717653600,127915,10.976,8.655
1717675200,127915,5.84,5.263
1717671600,127915,7.909,22.2
1717707600,127915,1.75,1.51
1717657200,127915,7.91,6.712
1719007200,127915,23.978,24.73
1718974800,127915,34.671,35.681
1718953200,127915,31.471,32.723
1718960400,127915,34.296,35.216
1719010800,127915,25.254,25.828
1718956800,127915,32.078,33.115
1718488800,127915,0.004,0.0
1718481600,127915,0.007,0.001
1718470800,127915,0.0,0.029
1718294400,127915,3.799,3.079
1718269200,127915,5.856,5.202
1718262000,127915,114.097,4.445
1718265600,127915,12.527,4.774
1717743600,127915,0.002,0.075
1717794000,127915,0.003,0.0
1717750800,127915,0.0,0.018
1717776000,127915,0.0,0.002
1717768800,127915,0.0,0.0
1717718400,127915,0.0,0.0
1717898400,127915,0.549,0.21
1717912800,127915,2.102,1.236
1717894800,127915,0.392,0.098
1718337600,127915,5.341,4.64
1718744400,127915,16.346,16.43
1718848800,127915,21.468,21.703
1718874000,127915,25.92,26.26
1718845200,127915,23.428,23.565
1718841600,127915,26.448,26.709
1718856000,127915,21.097,21.002
1718881200,127915,28.81,29.529
