time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_60minute_a,pm1.0_60minute_b,pm2.5_60minute_a,pm2.5_60minute_b,pm10.0_60minute_a,pm10.0_60minute_b
1718474400,102568,23.3,NA,87.833,NA,999.374,NA,0.421,0.613,0.661,0.836,0.684,0.908
1718380800,102568,50.4,NA,84.567,NA,993.872,NA,14.805,17.239,17.801,21.331,18.29,21.95
1718377200,102568,57.9,NA,82.133,NA,993.827,NA,12.221,13.797,14.758,17.046,15.442,17.757
1718388000,102568,46.466,NA,87.867,NA,993.421,NA,16.965,19.343,19.833,23.653,20.253,24.179
1717797600,102568,28.634,NA,83.8,NA,990.119,NA,0.891,1.275,1.279,1.777,1.727,2.225
1717783200,102568,29.033,NA,81.0,NA,990.904,NA,0.693,1.034,1.001,1.451,1.287,1.726
1718319600,102568,36.633,NA,89.933,NA,993.402,NA,4.681,5.608,5.593,6.738,5.8,7.026
1718265600,102568,67.666,NA,64.267,NA,995.115,NA,9.168,10.064,11.683,13.328,12.204,14.131
1718316000,102568,32.166,NA,91.467,NA,992.846,NA,4.405,4.851,5.22,5.938,5.353,6.149
1718287200,102568,42.3,NA,81.8,NA,996.413,NA,5.781,6.769,6.981,8.325,7.248,8.627
1717833600,102568,65.033,NA,61.3,NA,992.321,NA,6.125,7.482,7.757,9.398,8.511,10.024
1717848000,102568,68.667,NA,64.166,NA,994.218,NA,9.129,10.689,12.629,14.762,13.934,16.374
1718064000,102568,45.8,NA,68.6,NA,993.209,NA,0.859,1.227,1.11,1.607,1.215,1.747
1718074800,102568,60.933,NA,60.034,NA,994.288,NA,1.205,1.748,1.582,2.152,1.68,2.296
1717682400,102568,62.6,NA,78.334,NA,986.517,NA,3.687,4.293,4.548,5.509,4.843,5.809
1717686000,102568,53.467,NA,80.334,NA,986.425,NA,2.02,2.506,2.563,3.148,2.699,3.338
1717693200,102568,52.3,NA,82.566,NA,985.769,NA,2.857,3.664,3.444,4.447,3.679,4.679
1717916400,102568,61.166,NA,75.067,NA,988.324,NA,5.702,7.062,7.013,8.68,7.534,9.173
1717927200,102568,60.7,NA,71.633,NA,990.671,NA,5.579,6.94,6.559,8.336,6.848,8.766
1718060400,102568,45.067,NA,69.0,NA,993.068,NA,1.701,2.252,2.141,2.75,2.221,2.87
1718049600,102568,44.867,NA,70.6,NA,992.375,NA,1.809,2.277,2.317,2.938,2.585,3.127
