time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1718467200,175257,19.0,19.0,92.333,92.333,997.756,997.756,0.099,0.0,0.241,0.0,0.361,0.046
1718463600,175257,21.034,21.034,89.9,89.9,998.099,998.099,0.248,0.0,0.395,0.006,0.581,0.095
1718460000,175257,23.167,23.167,87.066,87.066,998.244,998.244,0.526,0.009,0.742,0.062,0.907,0.192
1718348400,175257,52.233,52.233,81.534,81.534,991.597,991.597,6.388,6.196,7.52,7.352,8.69,8.412
1718341200,175257,42.867,42.867,84.9,84.9,992.119,992.119,7.21,7.027,8.624,8.326,9.64,9.434
1718200800,175257,31.366,31.366,86.9,86.9,995.402,995.402,4.495,4.114,5.4,5.016,6.252,5.882
1718301600,175257,24.534,24.534,99.0,99.0,991.934,991.934,2.834,3.785,3.38,4.141,3.915,4.399
1717776000,175257,25.334,25.334,88.467,88.467,988.463,988.463,0.059,0.0,0.202,0.007,0.512,0.159
1717779600,175257,24.434,24.434,89.633,89.633,988.5,988.5,0.209,0.0,0.45,0.014,0.831,0.316
1717786800,175257,22.534,22.534,91.567,91.567,988.175,988.175,0.288,0.003,0.592,0.034,1.162,0.514
1717750800,175257,40.267,40.267,74.8,74.8,985.902,985.902,0.314,0.277,0.87,0.623,1.96,1.448
1717718400,175257,29.733,29.733,87.966,87.966,982.884,982.884,0.005,0.0,0.104,0.003,0.775,0.198
1717970400,175257,26.566,26.566,89.834,89.834,987.107,987.107,0.41,0.026,0.625,0.083,0.968,0.321
1717930800,175257,47.7,47.7,77.667,77.667,988.862,988.862,3.626,3.79,4.225,4.373,4.788,4.784
1717682400,175257,40.333,40.333,89.433,89.433,983.946,983.946,2.002,1.424,2.306,1.765,2.783,2.255
1717646400,175257,56.7,56.7,84.867,84.867,982.852,982.852,10.0,9.151,11.459,10.944,12.297,11.777
1717858800,175257,35.666,35.666,83.333,83.333,991.353,991.353,1.722,1.024,2.245,1.532,3.183,2.194
1717837200,175257,50.0,50.0,70.666,70.666,990.168,990.168,5.955,6.458,8.144,8.268,10.695,10.194
1718118000,175257,30.433,30.433,82.367,82.367,993.861,993.861,5.194,4.513,6.627,6.092,7.729,7.047
1718082000,175257,50.9,50.9,68.1,68.1,992.296,992.296,8.04,8.284,10.381,10.427,11.862,12.057
1718398800,175257,35.333,35.333,98.0,98.0,990.121,990.121,7.662,8.093,8.353,8.718,8.828,9.169
1718355600,175257,57.7,57.7,79.733,79.733,990.733,990.733,10.264,10.473,12.027,12.204,13.196,13.198
1718337600,175257,41.067,41.067,85.533,85.533,991.729,991.729,8.502,8.585,10.535,10.375,11.928,12.0
1718154000,175257,33.233,33.233,80.4,80.4,992.676,992.676,4.681,4.444,5.929,5.551,6.675,6.499
1718276400,175257,50.667,50.667,74.767,74.767,993.501,993.501,9.942,10.547,12.6,12.982,14.969,15.08
1718240400,175257,30.9,30.9,85.533,85.533,992.31,992.31,3.038,2.453,3.934,3.266,4.744,3.955
1717722000,175257,32.767,32.767,84.833,84.833,983.472,983.472,0.059,0.011,0.401,0.054,1.317,0.631
1717732800,175257,37.834,37.834,79.466,79.466,984.982,984.982,0.371,0.144,0.782,0.293,1.529,0.884
1717772400,175257,25.334,25.334,87.1,87.1,988.347,988.347,0.009,0.0,0.075,0.0,0.299,0.056
1718384400,175257,38.8,38.8,93.834,93.834,991.174,991.174,10.175,10.482,11.323,11.381,11.997,11.902
1717927200,175257,48.2,48.2,78.133,78.133,988.269,988.269,4.226,4.587,4.938,5.282,5.459,5.795
1717963200,175257,24.134,24.134,91.267,91.267,987.243,987.243,0.519,0.025,0.665,0.11,0.883,0.351
1718049600,175257,33.8,33.8,79.2,79.2,989.928,989.928,1.329,0.67,1.631,1.01,1.913,1.281
1717992000,175257,37.2,37.2,78.0,78.0,987.149,987.149,5.166,5.606,6.71,6.982,7.915,8.242
1718020800,175257,42.167,42.167,73.8,73.8,988.298,988.298,1.768,1.972,2.128,2.317,2.617,2.67
1717981200,175257,29.2,29.2,82.6,82.6,987.127,987.127,1.688,1.157,2.342,1.762,3.075,2.51
