time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1718355600,111898,67.6,null,77.566,null,985.424,null,15.608,12.438,21.196,17.809,22.242,18.338
1718398800,111898,33.933,null,99.7,null,985.005,null,14.554,12.079,17.858,15.418,18.453,15.665
1718362800,111898,65.633,null,79.133,null,985.625,null,17.593,14.289,24.454,20.511,25.69,21.167
1718208000,111898,17.7,null,99.367,null,989.226,null,3.737,2.893,5.607,4.184,6.149,4.348
1718168400,111898,51.967,null,68.966,null,987.647,null,6.607,5.166,9.796,7.592,10.864,8.008
1718175600,111898,59.267,null,66.067,null,987.998,null,11.096,8.639,15.98,12.909,17.38,13.57
1718197200,111898,40.966,null,80.5,null,990.007,null,9.292,7.44,12.626,10.225,13.358,10.478
1718164800,111898,46.333,null,70.934,null,987.596,null,5.085,4.075,7.522,6.095,8.352,6.349
1717804800,111898,23.934,null,88.133,null,982.353,null,0.819,1.786,1.621,2.482,2.421,2.808
1717840800,111898,61.383,null,66.892,null,985.01,null,8.911,7.701,11.778,10.522,13.005,10.989
1717822800,111898,48.867,null,72.233,null,983.445,null,5.386,5.447,7.205,7.218,8.293,7.614
1717830000,111898,55.8,null,69.8,null,983.954,null,7.481,7.082,10.028,9.34,11.242,9.79
1717851600,111898,54.8,null,76.5,null,986.238,null,8.915,7.917,11.733,10.517,12.93,10.876
1718298000,111898,21.2,null,103.633,null,986.9,null,5.857,4.915,7.668,6.345,7.972,6.545
1717747200,111898,38.133,null,75.334,null,979.774,null,0.643,1.453,1.41,2.064,1.898,2.328
1717653600,111898,62.966,null,83.334,null,977.691,null,11.578,9.242,17.345,14.818,18.215,15.274
1717999200,111898,50.567,null,72.267,null,981.137,null,5.98,5.144,7.669,6.508,8.237,6.743
1718121600,111898,21.034,null,93.0,null,988.236,null,4.208,3.109,6.528,4.968,7.318,5.238
1718143200,111898,23.9,null,88.1,null,986.088,null,7.004,5.686,9.812,8.135,10.658,8.582
1718074800,111898,57.1,null,66.9,null,985.824,null,4.462,3.464,6.384,4.889,6.891,5.111
1718132400,111898,17.767,null,93.733,null,987.285,null,3.409,2.722,5.181,4.055,5.768,4.325
1718100000,111898,60.9,null,60.966,null,987.722,null,6.795,5.021,10.053,7.936,11.182,8.456
1718067600,111898,48.833,null,70.633,null,985.199,null,1.933,1.53,2.809,2.136,3.139,2.27
1718082000,111898,59.5,null,65.867,null,986.435,null,9.253,6.881,13.488,10.37,14.435,10.912
1717909200,111898,48.667,null,81.666,null,981.134,null,5.841,5.5,7.845,7.304,8.606,7.72
1718330400,111898,34.7,null,87.034,null,985.369,null,6.656,5.286,8.604,7.056,9.177,7.306
1718395200,111898,34.666,null,101.0,null,985.125,null,15.636,13.297,19.667,17.148,20.231,17.505
1718344800,111898,65.466,null,78.034,null,987.186,null,12.986,10.332,17.616,14.498,18.673,15.032
1718334000,111898,36.1,null,85.834,null,985.719,null,7.243,5.906,9.573,7.9,10.049,8.135
1718352000,111898,68.0,null,77.066,null,984.698,null,14.631,11.739,20.096,16.651,21.31,17.159
1718193600,111898,51.767,null,73.1,null,989.726,null,11.372,9.109,16.075,12.919,17.261,13.376
