time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm1.0_atm_a,pm1.0_atm_b,pm2.5_atm_a,pm2.5_atm_b,pm10.0_atm_a,pm10.0_atm_b
1714568400,176557,49.034,null,73.8,null,999.022,null,14.623,14.97,21.494,22.227,22.951,23.668
1713776400,176557,57.933,null,45.334,null,1004.99,null,16.764,17.176,27.633,28.587,30.05,31.239
1713798000,176557,18.2,null,74.8,null,1006.238,null,4.718,4.898,7.687,7.961,8.311,8.8
1715691600,176557,71.233,null,68.566,null,993.33,null,11.92,12.576,17.974,18.992,18.95,20.112
1715648400,176557,37.233,null,79.367,null,993.438,null,9.03,9.667,13.003,14.209,13.759,14.85
1715652000,176557,38.567,null,77.067,null,994.196,null,7.189,7.658,10.483,11.189,11.069,11.845
1715673600,176557,70.733,null,67.8,null,993.101,null,7.759,8.52,11.398,12.446,11.812,12.849
1715713200,176557,68.9,null,73.233,null,990.501,null,25.365,26.484,39.748,41.328,44.623,46.487
1714046400,176557,45.534,null,52.867,null,1010.378,null,11.277,11.938,19.849,20.315,21.634,22.221
1714068000,176557,17.733,null,81.133,null,1007.962,null,6.082,6.089,10.087,10.303,11.172,11.25
1714010400,176557,45.633,null,55.334,null,1007.682,null,4.62,4.764,7.025,7.293,7.363,7.737
1711166400,176557,60.733,null,53.266,null,997.221,null,23.255,23.168,36.704,36.937,41.031,41.929
1711227600,176557,19.834,null,64.534,null,1006.051,null,8.934,9.538,15.37,15.718,16.247,16.401
1712458800,176557,47.034,null,53.3,null,1004.02,null,2.488,2.818,4.378,4.585,5.216,5.238
1712530800,176557,23.567,null,72.0,null,997.216,null,0.664,0.725,1.311,1.317,1.45,1.459
1710205200,176557,29.167,null,59.8,null,1002.839,null,6.393,6.67,9.841,10.357,11.056,11.296
1710208800,176557,33.933,null,56.667,null,1002.785,null,6.859,7.114,11.067,11.329,12.149,12.713
1702756800,176557,27.367,null,64.466,null,1003.686,null,7.409,7.905,10.728,11.579,11.573,12.432
1710374400,176557,29.467,null,76.2,null,996.368,null,13.51,13.716,19.434,19.799,20.568,20.871
1712077200,176557,72.834,null,68.1,null,984.229,null,3.606,3.765,5.684,5.845,6.457,6.781
1717437600,176557,31.667,null,97.5,null,996.406,null,12.064,13.396,17.999,19.928,19.388,21.445
1709388000,176557,67.9,null,54.033,null,1005.486,null,15.111,15.52,26.502,27.526,28.866,30.151
1709344800,176557,72.566,null,47.5,null,1004.529,null,15.945,13.599,23.457,21.45,25.352,23.12
1705086000,176557,72.333,null,45.133,null,975.77,null,7.766,8.276,12.708,13.148,14.733,15.059
1705089600,176557,73.9,null,46.7,null,972.146,null,29.073,28.803,50.517,49.481,58.427,57.993
1705028400,176557,59.367,null,42.234,null,1000.036,null,13.128,13.248,20.495,20.669,22.798,22.982
1705057200,176557,56.233,null,45.5,null,991.471,null,6.458,6.554,10.585,10.827,11.834,12.012
1714874400,176557,67.1,null,76.966,null,996.651,null,12.351,12.828,18.818,19.89,19.533,20.717
1709636400,176557,62.7,null,62.334,null,997.715,null,14.566,14.961,24.584,24.911,26.26,26.538
1709596800,176557,40.8,null,77.633,null,998.086,null,10.018,10.103,16.315,16.647,17.226,17.479
1715590800,176557,59.367,null,64.0,null,996.631,null,9.441,10.382,14.175,15.71,15.043,16.677
1715569200,176557,46.567,null,70.767,null,996.916,null,19.819,20.79,30.315,32.022,33.189,36.152
1715605200,176557,40.233,null,75.467,null,996.774,null,15.343,15.696,23.889,24.712,26.41,27.474
1702260000,176557,54.0,null,42.466,null,1002.214,null,5.039,5.303,8.772,9.351,9.756,10.198
1711386000,176557,16.567,null,75.967,null,999.006,null,3.421,3.42,5.598,5.622,6.455,6.668
1711782000,176557,46.334,null,58.2,null,996.503,null,18.303,17.916,27.846,27.333,29.716,29.511
1710331200,176557,51.367,null,53.0,null,997.139,null,10.39,10.713,16.046,16.389,18.062,18.514
1710079200,176557,39.666,null,45.6,null,1000.776,null,1.352,1.562,2.461,2.734,2.762,3.164
1716843600,176557,29.3,null,93.0,null,991.736,null,1.993,2.29,2.781,3.138,2.934,3.34
1707256800,176557,25.267,null,63.6,null,1005.097,null,12.86,13.057,22.044,22.045,23.615,23.682
1707217200,176557,51.167,null,44.0,null,1005.273,null,19.607,19.878,35.136,35.343,39.855,40.224
1707213600,176557,52.4,null,43.267,null,1004.553,null,20.22,20.617,35.324,36.492,40.215,41.862
1715482800,176557,45.233,null,65.467,null,994.805,null,8.424,8.606,12.53,12.924,13.217,13.794
1715130000,176557,73.166,null,78.467,null,985.859,null,12.478,12.869,20.151,21.671,21.084,22.745
1711018800,176557,34.2,null,37.0,null,1008.658,null,1.873,2.222,4.147,4.691,5.37,5.912
1705878000,176557,35.1,null,34.833,null,1019.31,null,7.236,7.575,12.067,12.643,13.747,14.583
1711252800,176557,44.166,null,41.567,null,1007.6,null,15.975,16.159,27.697,29.059,31.066,32.92
1714827600,176557,69.767,null,74.433,null,998.643,null,19.221,19.491,28.614,29.868,30.343,31.944
1714672800,176557,20.367,null,105.2,null,996.572,null,7.757,7.696,10.977,10.913,11.878,11.672
1712955600,176557,57.666,null,62.267,null,993.93,null,2.969,3.05,4.438,4.473,4.857,4.908
1710662400,176557,34.433,null,53.633,null,993.178,null,0.857,1.082,1.411,1.692,1.49,1.829
1702605600,176557,37.367,null,44.6,null,1020.159,null,14.041,14.037,22.047,22.018,24.706,25.249
1716274800,176557,56.433,null,75.566,null,996.091,null,17.022,19.018,25.392,28.361,26.47,29.752
1716328800,176557,30.066,null,97.067,null,993.318,null,9.439,9.355,13.2,13.206,13.558,13.445
1716332400,176557,34.666,null,93.434,null,993.073,null,10.793,11.14,15.418,15.841,15.99,16.321
1716282000,176557,60.534,null,74.067,null,996.127,null,18.802,20.609,28.393,30.904,30.115,33.398
